id	locationID	countryCode	establishmentMeans
94095	Turkey	TR	Alien
94096	Turkey	TR	Alien
94097	Turkey	TR	Alien
94098	Turkey	TR	Alien
94099	Turkey	TR	Alien
94100	Turkey	TR	Alien
94101	Turkey	TR	Alien
94102	Turkey	TR	Alien
94103	Turkey	TR	Alien
94104	Turkey	TR	Alien
94105	Turkey	TR	Alien
94106	Turkey	TR	Alien
94107	Turkey	TR	Alien
94108	Turkey	TR	Alien
94109	Turkey	TR	Alien
94110	Turkey	TR	Alien
94111	Turkey	TR	Alien
94112	Turkey	TR	Alien
94113	Turkey	TR	Alien
94114	Turkey	TR	Alien
94115	Turkey	TR	Alien
94116	Turkey	TR	Alien
94117	Turkey	TR	Alien
94118	Turkey	TR	Alien
94119	Turkey	TR	Alien
94120	Turkey	TR	Alien
94121	Turkey	TR	Alien
94122	Turkey	TR	Alien
94123	Turkey	TR	Alien
94124	Turkey	TR	Alien
94125	Turkey	TR	Alien
94126	Turkey	TR	Alien
94127	Turkey	TR	Alien
94128	Turkey	TR	Alien
94129	Turkey	TR	Alien
94130	Turkey	TR	Alien
94131	Turkey	TR	Alien
94132	Turkey	TR	Alien
94133	Turkey	TR	Alien
94134	Turkey	TR	Alien
94135	Turkey	TR	Alien
94136	Turkey	TR	Alien
94137	Turkey	TR	Alien
94138	Turkey	TR	Alien
94139	Turkey	TR	Alien
94140	Turkey	TR	Alien
94141	Turkey	TR	Alien
94142	Turkey	TR	Alien
94143	Turkey	TR	Alien
94144	Turkey	TR	Alien
94145	Turkey	TR	Alien
94146	Turkey	TR	Alien
94147	Turkey	TR	Alien
94148	Turkey	TR	Alien
94149	Turkey	TR	Alien
94150	Turkey	TR	Alien
94151	Turkey	TR	Alien
94152	Turkey	TR	Alien
94153	Turkey	TR	Alien
94154	Turkey	TR	Cryptogenic|Uncertain
94155	Turkey	TR	Alien
94156	Turkey	TR	Alien
94157	Turkey	TR	Alien
94158	Turkey	TR	Alien
94159	Turkey	TR	Alien
94160	Turkey	TR	Alien
94161	Turkey	TR	Alien
94162	Turkey	TR	Cryptogenic|Uncertain
94163	Turkey	TR	Alien
94164	Turkey	TR	Alien
94165	Turkey	TR	Alien
94166	Turkey	TR	Alien
94167	Turkey	TR	Alien
94168	Turkey	TR	Alien
94169	Turkey	TR	Alien
94170	Turkey	TR	Alien
94171	Turkey	TR	Alien
94172	Turkey	TR	Alien
94173	Turkey	TR	Alien
94174	Turkey	TR	Native|Alien
94175	Turkey	TR	Alien
94176	Turkey	TR	Alien
94177	Turkey	TR	Alien
94178	Turkey	TR	Alien
94179	Turkey	TR	Alien
94180	Turkey	TR	Alien
94181	Turkey	TR	Alien
94182	Turkey	TR	Alien
94183	Turkey	TR	Alien
94184	Turkey	TR	Alien
94185	Turkey	TR	Alien
94186	Turkey	TR	Alien
94187	Turkey	TR	Alien
94188	Turkey	TR	Alien
94189	Turkey	TR	Alien
94190	Turkey	TR	Alien
94191	Turkey	TR	Alien
94192	Turkey	TR	Alien
94193	Turkey	TR	Alien
94194	Turkey	TR	Alien
94195	Turkey	TR	Alien
94196	Turkey	TR	Alien
94197	Turkey	TR	Alien
94198	Turkey	TR	Alien
94199	Turkey	TR	Alien
94200	Turkey	TR	Alien
94201	Turkey	TR	Alien
94202	Turkey	TR	Alien
94203	Turkey	TR	Alien
94204	Turkey	TR	Alien
94205	Turkey	TR	Alien
94206	Turkey	TR	Alien
94207	Turkey	TR	Alien
94208	Turkey	TR	Alien
94209	Turkey	TR	Alien
94210	Turkey	TR	Alien
94211	Turkey	TR	Alien
94212	Turkey	TR	Alien
94213	Turkey	TR	Alien
94214	Turkey	TR	Alien
94215	Turkey	TR	Alien
94216	Turkey	TR	Alien
94217	Turkey	TR	Alien
94218	Turkey	TR	Alien
94219	Turkey	TR	Alien
94220	Turkey	TR	Alien
94221	Turkey	TR	Alien
94222	Turkey	TR	Alien
94223	Turkey	TR	Alien
94224	Turkey	TR	Alien
94225	Turkey	TR	Alien
94226	Turkey	TR	Alien
94227	Turkey	TR	Alien
94228	Turkey	TR	Alien
94229	Turkey	TR	Alien
94230	Turkey	TR	Alien
94231	Turkey	TR	Alien
94232	Turkey	TR	Alien
94233	Turkey	TR	Alien
94234	Turkey	TR	Alien
94235	Turkey	TR	Alien
94236	Turkey	TR	Alien
94237	Turkey	TR	Alien
94238	Turkey	TR	Alien
94239	Turkey	TR	Alien
94240	Turkey	TR	Alien
94241	Turkey	TR	Alien
94242	Turkey	TR	Alien
94243	Turkey	TR	Alien
94244	Turkey	TR	Alien
94245	Turkey	TR	Alien
94246	Turkey	TR	Alien
94247	Turkey	TR	Alien
94248	Turkey	TR	Alien
94249	Turkey	TR	Alien
94250	Turkey	TR	Alien
94251	Turkey	TR	Alien
94252	Turkey	TR	Alien
94253	Turkey	TR	Cryptogenic|Uncertain
94254	Turkey	TR	Alien
94255	Turkey	TR	Alien
94256	Turkey	TR	Alien
94257	Turkey	TR	Alien
94258	Turkey	TR	Alien
94259	Turkey	TR	Alien
94260	Turkey	TR	Alien
94261	Turkey	TR	Alien
94262	Turkey	TR	Alien
94263	Turkey	TR	Alien
94264	Turkey	TR	Alien
94265	Turkey	TR	Alien
94266	Turkey	TR	Alien
94267	Turkey	TR	Alien
94268	Turkey	TR	Alien
94269	Turkey	TR	Alien
94270	Turkey	TR	Alien
94271	Turkey	TR	Alien
94272	Turkey	TR	Alien
94273	Turkey	TR	Alien
94274	Turkey	TR	Alien
94275	Turkey	TR	Alien
94276	Turkey	TR	Alien
94277	Turkey	TR	Alien
94278	Turkey	TR	Alien
94279	Turkey	TR	Alien
94280	Turkey	TR	Alien
94281	Turkey	TR	Alien
94282	Turkey	TR	Alien
94283	Turkey	TR	Alien
94284	Turkey	TR	Alien
94285	Turkey	TR	Alien
94286	Turkey	TR	Alien
94287	Turkey	TR	Alien
94288	Turkey	TR	Alien
94289	Turkey	TR	Alien
94290	Turkey	TR	Alien
94291	Turkey	TR	Alien
94292	Turkey	TR	Alien
94293	Turkey	TR	Alien
94294	Turkey	TR	Alien
94295	Turkey	TR	Alien
94296	Turkey	TR	Alien
94297	Turkey	TR	Alien
94298	Turkey	TR	Alien
94299	Turkey	TR	Alien
94300	Turkey	TR	Native|Alien
94301	Turkey	TR	Native|Alien
94302	Turkey	TR	Native|Alien
94303	Turkey	TR	Alien
94304	Turkey	TR	Alien
94305	Turkey	TR	Alien
