id	locationID	countryCode	occurrenceStatus	establishmentMeans	eventDate
16420	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16421	Tonga	TO	Present	Alien	2022
16422	Tonga	TO	Present	Alien	2022
16423	Tonga	TO	Present	Alien	2022
16424	Tonga	TO	Present	Alien	2022
16425	Tonga	TO	Present	Alien	2022
16426	Tonga	TO	Present	Alien	2022
16427	Tonga	TO	Present	Alien	2022
16428	Tonga	TO	Present	Alien	2022
16429	Tonga	TO	Present	Alien	2022
16430	Tonga	TO	Present	Alien	2022
16431	Tonga	TO	Present	Alien	2022
16432	Tonga	TO	Present	Alien	2022
16433	Tonga	TO	Present	Alien	2022
16434	Tonga	TO	Present	Alien	2022
16435	Tonga	TO	Present	Alien	2022
16436	Tonga	TO	Present	Alien	2022
16437	Tonga	TO	Present	Alien	2022
16438	Tonga	TO	Present	Alien	2022
16439	Tonga	TO	Present	Alien	2022
16440	Tonga	TO	Present	Alien	2022
16441	Tonga	TO	Present	Alien	2022
16442	Tonga	TO	Present	Alien	2022
16443	Tonga	TO	Present	Alien	2022
16444	Tonga	TO	Present	Alien	2022
16445	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16446	Tonga	TO	Present	Alien	2022
16447	Tonga	TO	Present	Alien	2022
16448	Tonga	TO	Present	Alien	2022
16449	Tonga	TO	Present	Alien	2022
16450	Tonga	TO	Present	Alien	2022
16451	Tonga	TO	Present	Alien	2022
16452	Tonga	TO	Present	Alien	2022
16453	Tonga	TO	Present	Alien	2022
16454	Tonga	TO	Present	Alien	2022
16455	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16456	Tonga	TO	Present	Alien	2022
16457	Tonga	TO	Present	Alien	2022
16458	Tonga	TO	Present	Alien	2022
16459	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16460	Tonga	TO	Present	Alien	2022
16461	Tonga	TO	Present	Alien	2022
16462	Tonga	TO	Present	Alien	2022
16463	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16464	Tonga	TO	Present	Alien	2022
16465	Tonga	TO	Present	Alien	2022
16466	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16467	Tonga	TO	Present	Alien	2022
16468	Tonga	TO	Present	Alien	2022
16469	Tonga	TO	Present	Alien	2022
16470	Tonga	TO	Present	Alien	2022
16471	Tonga	TO	Present	Alien	2022
16472	Tonga	TO	Present	Alien	2022
16473	Tonga	TO	Present	Alien	2022
16474	Tonga	TO	Present	Alien	2022
16475	Tonga	TO	Present	Alien	2022
16476	Tonga	TO	Present	Alien	2022
16477	Tonga	TO	Present	Alien	2022
16478	Tonga	TO	Present	Alien	2022
16479	Tonga	TO	Present	Alien	2022
16480	Tonga	TO	Present	Alien	2022
16481	Tonga	TO	Present	Alien	2022
16482	Tonga	TO	Present	Alien	2022
16483	Tonga	TO	Present	Alien	2022
16484	Tonga	TO	Present	Alien	2022
16485	Tonga	TO	Present	Alien	2022
16486	Tonga	TO	Present	Alien	2022
16487	Tonga	TO	Present	Alien	2022
16488	Tonga	TO	Present	Alien	2022
16489	Tonga	TO	Present	Alien	2022
16490	Tonga	TO	Present	Alien	2022
16491	Tonga	TO	Present	Alien	2022
16492	Tonga	TO	Present	Alien	2022
16493	Tonga	TO	Present	Alien	2022
16494	Tonga	TO	Present	Alien	2022
16495	Tonga	TO	Present	Alien	2022
16496	Tonga	TO	Present	Alien	2022
16497	Tonga	TO	Present	Alien	2022
16498	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16499	Tonga	TO	Present	Alien	2022
16500	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16501	Tonga	TO	Present	Alien	2022
16502	Tonga	TO	Present	Alien	2022
16503	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16504	Tonga	TO	Present	Alien	2022
16505	Tonga	TO	Present	Alien	2022
16506	Tonga	TO	Present	Alien	2022
16507	Tonga	TO	Present	Alien	2022
16508	Tonga	TO	Present	Alien	2022
16509	Tonga	TO	Present	Cryptogenic|Uncertain	2022
16510	Tonga	TO	Present	Alien	2022
